Country Name,Country Code,Series Name,Series Code,2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000]
Afghanistan,AFG,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,..,..,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..,35.437,36.045,36.342,36.601,37.138,37.624,38.171,38.732,39.364,39.646,40.288,40.702,40.973,41.759,42.162,42.538,43.831,44.087,44.952,46.492,47.056,47.488,49.623,51.491
Afghanistan,AFG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,12.0684,11.6486,11.298,12.4864,12.1436,12.1046,11.8099,10.3972,7.6117,8.4272,7.9588,8.4287,9.8844,11.5231,7.8684,6.1659,3.9029,2.0642,1.4185,1.2763,0.9024,1.0172,0.9388,0.9402,1.0093
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..,5.797,5.993,8.002,7.565,7.064,7.271,7.315,7.32,7.528,7.511,7.597,7.822,8.032,8.402,8.645,8.884,9.487,9.659,9.913,10.375,10.714,11.187,11.954,12.608
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,..,17152234637,14497243872,14259995441,19955929052,18799444490,18053222687,18753456498,18116572395,19134221645,20497128556,20146416758,19907329778,17805098206,15856668556,12416152732,10109297048,9747886187,6971758282,6203256539,5224896719,4520946819,3825701439,2813571754,3521418060
Afghanistan,AFG,"Population, total",SP.POP.TOTL,42647492,41454761,40578842,40000412,39068979,37856121,36743039,35688935,34700612,33831764,32792523,31622704,30560034,29347708,28284089,27466101,26482622,25909852,25424094,24404567,23560654,22733049,21378117,20284307,20130327
Albania,ALB,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,..,..,0.797,0.796,0.786,1.131,0.958,1.091,1.092,0.92,1.07498,1.09966,1.12434,1.14902,1.1737,1.19838,1.22306,1.24774,1.27242,1.4011,1.48844,1.57578,1.66312,1.75046,1.8378
Albania,ALB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..,10.244,10.305,10.512,10.536,10.757,10.898,11.416,11.873,12.431,13.071,13.137,12.868,12.406,12.373,12.326,12.209,12.439,12.977,13.862,14.7,15.616,15.585,16.596,17.513
Albania,ALB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,4.2437,4.2226,4.5239,5.1122,4.5676,4.984,5.3341,5.3613,4.5382,4.8756,5.1022,4.7703,4.5385,5.0007,4.567,4.2836,4.195,4.246,4.1351,4.1489,4.4144,4.2116,4.0067,3.4396,3.2329
